#CREDIT to Keving for the Following;;;;;;;;;;;;;;x,,,,
z1manage_grants_title;§YManage Money Grants and Military Supplies Aid;;;;;;;;;;;;;x,,,,
z1manage_grants_desc;Triggers an event that lets you enable giving grants, deny giving grants, or request money and military goods from other human players.;;;;;;;;;;;;;x,,
requested_grant;Requested Grant;;;;;;;;;;;;;x,,,,
requested_grant_desc;We have recently requested a grant and must wait awhile before asking for another one.;;;;;;;;;;;;;x,,,,
EVTNAMEgrantoptions;Grant Options;;;;;;;;;;;;;x,,,,
EVTDESCgrantoptions;In order to give player grants or military supplies, select the enable giving aid option. If you wish to automatically deny grants and military supplies, select the deny giving aid option. If you are asking for a money grant or military supplies, select the type of aid you wish to receive. Note that if you wish to give military supplies to another player, you must manually set your stockpile.;;;;;;;;;;;;;x
EVTNAMEinsufficientmoney;Insufficient Stockpile;;;;;;;;;;;;;x,,,,
EVTDESCinsufficientmoney;We do not have the required stockpile of supplies that we wish to send.;;;;;;;;;;;;;x,,,,
EVTOPTAinsufficientmoney;Ok.;;;;;;;;;;;;;x,,,,
EVTNAMEgivemoney;$FROMCOUNTRY$ Requests a Grant;;;;;;;;;;;;;x,,,,
EVTDESCgivemoney;$FROMCOUNTRY$ has asked us for a grant. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_Nothing;Don't give anything.;;;;;;;;;;;;;x,,,,
Give_0.05M_Grant;Give them ¤50,000.;;;;;;;;;;;;;x,,,
Give_0.1M_Grant;Give them ¤100,000.;;;;;;;;;;;;;x,,,
Give_0.25M_Grant;Give them ¤250,000.;;;;;;;;;;;;;x,,,
Give_0.5M_Grant;Give them ¤500,000.;;;;;;;;;;;;;x,,,
Give_1M_Grant;Give them ¤1,000,000.;;;;;;;;;;;;;x,,
Give_2M_Grant;Give them ¤2,000,000.;;;;;;;;;;;;;x,,
Give_4M_Grant;Give them ¤4,000,000.;;;;;;;;;;;;;x,,
Give_6M_Grant;Give them ¤6,000,000.;;;;;;;;;;;;;x,,
Give_8M_Grant;Give them ¤8,000,000.;;;;;;;;;;;;;x,,
Give_10M_Grant;Give them ¤10,000,000.;;;;;;;;;;;;;x,,
EVTNAMEgiveartillery;$FROMCOUNTRY$ Requests Artillery;;;;;;;;;;;;;x,,,,
EVTDESCgiveartillery;$FROMCOUNTRY$ has asked us for a shipment of artillery. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Artillery;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Artillery;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Artillery;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Artillery;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Artillery;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgiveammunition;$FROMCOUNTRY$ Requests Ammunition;;;;;;;;;;;;;x,,,,
EVTDESCgiveammunition;$FROMCOUNTRY$ has asked us for a shipment of ammunition. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Ammunition;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Ammunition;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Ammunition;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Ammunition;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Ammunition;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgivesmallarms;$FROMCOUNTRY$ Requests Small Arms;;;;;;;;;;;;;x,,,,
EVTDESCgivesmallarms;$FROMCOUNTRY$ has asked us for a shipment of small arms. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Small_Arms;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Small_Arms;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Small_Arms;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Small_Arms;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Small_Arms;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgivesteamerconvoys;$FROMCOUNTRY$ Requests Steamer Convoys;;;;;;;;;;;;;x,,,,
EVTDESCgivesteamerconvoys;$FROMCOUNTRY$ has asked us for a shipment of steamer convoys. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Steamer_Convoys;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Steamer_Convoys;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Steamer_Convoys;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Steamer_Convoys;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Steamer_Convoys;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgiveclipperconvoys;$FROMCOUNTRY$ Requests Clipper Convoys;;;;;;;;;;;;;x,,,,
EVTDESCgiveclipperconvoys;$FROMCOUNTRY$ has asked us for a shipment of clipper convoys. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Clipper_Convoys;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Clipper_Convoys;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Clipper_Convoys;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Clipper_Convoys;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Clipper_Convoys;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgivecannedfood;$FROMCOUNTRY$ Requests Canned Food;;;;;;;;;;;;;x,,,,
EVTDESCgivecannedfood;$FROMCOUNTRY$ has asked us for a shipment of canned food. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_Canned_Food;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_Canned_Food;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_Canned_Food;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_Canned_Food;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_Canned_Food;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgivebarrels;$FROMCOUNTRY$ Requests Tank Barrels;;;;;;;;;;;;;x,,,,
EVTDESCgivebarrels;$FROMCOUNTRY$ has asked us for a shipment of tank barrels. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_barrels;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_barrels;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_barrels;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_barrels;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_barrels;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgiveaeroplanes;$FROMCOUNTRY$ Requests Aeroplanes;;;;;;;;;;;;;x,,,,
EVTDESCgiveaeroplanes;$FROMCOUNTRY$ has asked us for a shipment of aeroplanes. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_aeroplanes;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_aeroplanes;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_aeroplanes;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_aeroplanes;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_aeroplanes;Give them 1999.;;;;;;;;;;;;;x,,,,
EVTNAMEgivefuel;$FROMCOUNTRY$ Requests Fuel;;;;;;;;;;;;;x,,,,
EVTDESCgivefuel;$FROMCOUNTRY$ has asked us for a shipment of fuel. Shall we give it to them?;;;;;;;;;;;;;x,,,,
Give_200_fuel;Give them 200.;;;;;;;;;;;;;x,,,,
Give_500_fuel;Give them 500.;;;;;;;;;;;;;x,,,,
Give_1000_fuel;Give them 1000.;;;;;;;;;;;;;x,,,,
Give_1500_fuel;Give them 1500.;;;;;;;;;;;;;x,,,,
Give_1999_fuel;Give them 1999.;;;;;;;;;;;;;x,,,,
#Credit End;;;;;;;;;;;;;;x,,,,
